Customer_ID,Purchase_Frequency,Average_Spending,Electronics,Fashion,Grocery,Beauty,Sports
C001,8,4500,0.8,0.2,0.3,0.1,0.2
C002,3,1200,0.1,0.2,0.9,0.1,0.1
C003,12,7800,0.7,0.6,0.2,0.1,0.3
C004,5,2500,0.2,0.8,0.3,0.4,0.2
C005,10,6000,0.6,0.3,0.2,0.2,0.8
C006,2,900,0.1,0.1,0.8,0.2,0.1
C007,9,5200,0.7,0.3,0.2,0.2,0.4
C008,4,1800,0.2,0.7,0.4,0.3,0.2
C009,11,7200,0.8,0.4,0.2,0.1,0.6
C010,6,3200,0.3,0.6,0.5,0.5,0.2
C011,3,1400,0.1,0.2,0.9,0.1,0.1
C012,13,8500,0.9,0.5,0.1,0.2,0.7
C013,7,4000,0.5,0.4,0.4,0.3,0.3
C014,5,2300,0.2,0.8,0.3,0.6,0.2
C015,10,6100,0.7,0.3,0.2,0.2,0.8
C016,2,1000,0.1,0.1,0.8,0.2,0.1
C017,8,4800,0.6,0.5,0.3,0.2,0.4
C018,4,1900,0.2,0.7,0.5,0.3,0.2
C019,12,7600,0.8,0.4,0.2,0.1,0.7
C020,6,2900,0.3,0.6,0.5,0.4,0.2
C021,9,5500,0.7,0.3,0.3,0.2,0.6
C022,3,1300,0.1,0.2,0.9,0.1,0.1
C023,11,6900,0.8,0.5,0.2,0.2,0.6
C024,5,2600,0.2,0.8,0.4,0.5,0.2
C025,10,6400,0.7,0.3,0.2,0.2,0.9
C026,4,1700,0.1,0.6,0.7,0.3,0.2
C027,8,4300,0.5,0.4,0.5,0.4,0.3
C028,13,8200,0.9,0.4,0.1,0.2,0.7
C029,6,3100,0.3,0.7,0.4,0.5,0.2
C030,2,800,0.1,0.1,0.9,0.1,0.1
